1788210681.883	1	9
1788210685.651	2	3423
1788210685.719	3	1303
1788210685.787	4	3458
1788210685.856	5	1915
1788210685.925	6	2986
1788210685.994	7	3615
1788210686.064	8	1862
1788210686.134	9	2781
1788210686.203	10	3019
1788210686.273	11	2380
1788210686.343	12	2362
1788210686.412	13	3129
1788210686.482	14	2908
1788210686.552	15	4349
1788210686.622	16	2761
1788210686.692	17	1876
1788210686.762	18	3411
1788210686.831	19	1219
1788210686.899	20	4676
1788210686.968	21	9
1788210695.528	22	9
1788210699.636	23	9
1788210702.089	24	9
1788210705.354	25	2419
1788210705.424	26	2576
1788210705.493	27	2300
1788210705.562	28	2671
1788210705.631	29	2522
1788210705.699	30	4383
1788210705.768	31	2511
1788210705.837	32	1274
1788210705.906	33	4724
1788210705.974	34	1582
1788210706.042	35	2343
1788210706.111	36	2085
1788210706.18	37	3173
1788210706.25	38	4667
1788210706.32	39	1857
1788210706.388	40	2965
1788210706.457	41	3919
1788210706.527	42	3911
1788210706.595	43	4032
1788210706.664	44	4675
1788210706.733	45	4010
1788210706.802	46	3252
1788210706.87	47	9
1788210714.663	48	1843
1788210714.732	49	4519
1788210714.8	50	3210
1788210714.869	51	4123
1788210714.938	52	3418
1788210715.007	53	4157
1788210715.076	54	4338
1788210715.145	55	2583
1788210715.214	56	4561
1788210715.283	57	1228
1788210715.351	58	1349
1788210715.42	59	3473
1788210715.489	60	3330
1788210715.558	61	3926
1788210715.627	62	3821
1788210715.696	63	3779
1788210715.765	64	2151
1788210715.834	65	1235
1788210715.903	66	4712
1788210715.972	67	3703
1788210716.041	68	2024
1788210716.11	69	3938
1788210716.178	70	1869
1788210716.247	71	2183
1788210716.316	72	2516
1788210716.384	73	3321
1788210716.454	74	4099
1788210716.522	75	4085
1788210716.591	76	3273
1788210716.66	77	4031
1788210716.729	78	3129
1788210716.798	79	1569
1788210716.867	80	2284
1788210716.935	81	2162
1788210717.005	82	2240
1788210717.073	83	3107
1788210717.142	84	3163
1788210717.211	85	2302
1788210717.28	86	9
1788210721.385	87	9
1788210730.231	88	4708
1788210730.301	89	2515
1788210730.371	90	1696
1788210730.44	91	2323
1788210730.509	92	2180
1788210730.579	93	2067
